firm,business
seminary,private_school
boarding_school,private_school
administrative_unit,unit
military_unit,unit
team,unit
army_unit,military_unit
business,enterprise
squadron,cavalry
law_firm,firm
institution,organization
force,organization
union,organization
association,organization
unit,organization
enterprise,organization
party,organization
division1,army_unit
battalion,army_unit
artillery,army_unit
cavalry,army_unit
regiment,army_unit
brigade,army_unit
medical_school,graduate_school
hockey_team,team
academy,secondary_school
preparatory_school,secondary_school
weapon.missile,weapon
rocket.missile,rocket
publication.magazine,publication
press.magazine,press
dwelling.residence,dwelling.house
building.residence,building.house
dwelling.monastery,dwelling.religious_residence
building.monastery,building.religious_residence
dwelling.religious_residence,dwelling.residence
building.religious_residence,building.residence
dwelling.house,dwelling
building.house,building
vehicle.sports_car,vehicle.car
container.sports_car,container.car
vehicle.compact,vehicle.car
container.compact,container.car
vehicle.car,vehicle.motor_vehicle
container.car,container.motor_vehicle
vehicle.self-propelled_vehicle,vehicle.wheeled_vehicle
container.self-propelled_vehicle,container.wheeled_vehicle
vehicle.motor_vehicle,vehicle.self-propelled_vehicle
container.motor_vehicle,container.self-propelled_vehicle
vehicle.wheeled_vehicle,vehicle
container.wheeled_vehicle,container
documentary,movie
book,publication
painting,graphic_art
highway,road
thoroughfare,road
artifact.museum,artifact.depository
artifact.dam,artifact.barrier
vessel,craft
artifact.depository,artifact.facility
airfield,artifact.facility
artifact.station,artifact.facility
newspaper,press
publication,work
medium,instrumentality
device,instrumentality
conveyance,instrumentality
container,instrumentality
sound_recording,recording
weapon,instrument
ship,vessel
yacht,vessel
artifact.tower,artifact.structure
memorial,artifact.structure
building,artifact.structure
artifact.bridge,artifact.structure
artifact.stadium,artifact.structure
artifact.obstruction,artifact.structure
housing,artifact.structure
artifact.area,artifact.structure
church,place_of_worship
mine,excavation
soundtrack,sound_recording
passenger_ship,ship
telecommunication,medium
print_media,medium
album,medium
liner,passenger_ship
broadcasting,telecommunication
television,broadcasting
library,room
place_of_worship,building
skyscraper,building
hotel,building
instrument,device
memory_device,device
machine,device
vehicle,conveyance
recording,memory_device
movie,product
work,product
press,print_media
street,thoroughfare
artifact.facility,artifact
instrumentality,artifact
artifact.structure,artifact
excavation,artifact
way,artifact
creation,artifact
road,way
artifact.barrier,artifact.obstruction
computer,machine
motor,machine
craft,vehicle
rocket,vehicle
engine,motor
dwelling,housing
room,artifact.area
product,creation
art,creation
graphic_art,art
urban_area.town,urban_area.municipality
administrative_district.town,administrative_district.municipality
urban_area.city,urban_area.municipality
administrative_district.city,administrative_district.municipality
urban_area.municipality,urban_area
administrative_district.municipality,administrative_district
range,geological_formation
natural_depression,geological_formation
beach,geological_formation
natural_elevation,geological_formation
capital,seat1
county_seat,seat1
residential_district,district
administrative_district,district
seat1,center
geological_formation,geoentity
geoentity.facility,geoentity
location,geoentity
geoentity.structure,geoentity
land,geoentity
body_of_water,geoentity
geographic_point,point
center,geoentity.area
space,geoentity.area
reef,ridge
county,region2
geoentity.station,geoentity.facility
geoentity.depository,geoentity.facility
river,stream
garden,plot
suburb,residential_district
point,location
region2,location
region1,location
seat2,space
port,geographic_point
district,region1
geoentity.area,region1
geographical_area,region1
site,tract
plot,tract
park,tract
geoentity.tower,geoentity.structure
geoentity.stadium,geoentity.structure
geoentity.bridge,geoentity.structure
geoentity.obstruction,geoentity.structure
village,settlement
national_park,park
island,land
valley,natural_depression
coral_reef,reef
urban_area,geographical_area
tract,geographical_area
settlement,geographical_area
gulf,body_of_water
stream,body_of_water
lake,body_of_water
sea,body_of_water
bay,body_of_water
geoentity.barrier,geoentity.obstruction
geoentity.dam,geoentity.barrier
geoentity.museum,geoentity.depository
township,administrative_district
commune,administrative_district
borough,administrative_district
atoll,coral_reef
ridge,natural_elevation
hill,natural_elevation
mountain,natural_elevation
